Cluster,Source,Destination,Gate Count Scaling
EU,Gen11LP,Gen12LP,False
EU,Gen12LP,Gen12LP,False
L3_Bank,Gen11LP,Gen12LP,False
L3_Bank,Gen12LP,Gen12LP,False
GAM,Gen11LP,Gen12LP,False
GAM,Gen12LP,Gen12LP,False
Sampler,Gen12LP,Gen12LP,False
L3Node,Gen11LP,Gen12LP,False
L3Node,Gen12LP,Gen12LP,False
Fabric,Gen11LP,Gen12LP,False
Fabric,Gen12LP,Gen12LP,False
GTI,Gen12LP,Gen12LP,False
SQIDI,Gen12LP,Gen12LP,False
UNCORE,Gen12LP,Gen12LP,False
COLOR,Gen12LP,Gen12LP,False
Z,Gen12LP,Gen12LP,False
DSSC,Gen12LP,Gen12LP,False
FF,Gen12LP,Gen12LP,False
HDC,Gen12LP,Gen12LP,False
rFF,Gen12LP,Gen12LP,False
ROSS,Gen12LP,Gen12LP,False
ROSC,Gen12LP,Gen12LP,False
SQIDI,Gen12LP,Gen12LP,False
EU,Gen9LPClient,Gen12HP_512,False
EU,Gen9LPSoC,Gen12HP_512,False
EU,Gen10LP,Gen12HP_512,False
EU,Gen11LP,Gen12HP_512,False
EU,Gen12LP,Gen12HP_512,False
L3_Bank,Gen9LPClient,Gen12HP_512,False
L3_Bank,Gen9LPSoC,Gen12HP_512,False
L3_Bank,Gen10LP,Gen12HP_512,False
L3_Bank,Gen11LP,Gen12HP_512,False
L3_Bank,Gen12LP,Gen12HP_512,False
L3_Bank,Gen12LP,Gen12HP,False
L3_Bank,Gen12HP,Gen12HP,False
GAM,Gen9LPClient,Gen12HP_512,False
GAM,Gen9LPSoC,Gen12HP_512,False
GAM,Gen10LP,Gen12HP_512,False
GAM,Gen11LP,Gen12HP_512,False
GAM,Gen12LP,Gen12HP_512,False
Sampler,Gen9LPClient,Gen12HP_512,False
Sampler,Gen9LPSoC,Gen12HP_512,False
Sampler,Gen10LP,Gen12HP_512,False
Sampler,Gen12LP,Gen12HP_512,False
Sampler,Gen11LP,Gen12HP_512,False
L3Node,Gen9LPClient,Gen12HP_512,False
L3Node,Gen9LPSoC,Gen12HP_512,False
L3Node,Gen10LP,Gen12HP_512,False
L3Node,Gen11LP,Gen12HP_512,False
L3Node,Gen12LP,Gen12HP_512,False
Fabric,Gen9LPClient,Gen12HP_512,False
Fabric,Gen9LPSoC,Gen12HP_512,False
Fabric,Gen10LP,Gen12HP_512,False
Fabric,Gen11LP,Gen12HP_512,False
Fabric,Gen12LP,Gen12HP_512,False
GTI,Gen9LPClient,Gen12HP_512,False
GTI,Gen9LPSoC,Gen12HP_512,False
GTI,Gen10LP,Gen12HP_512,False
GTI,Gen12LP,Gen12HP_512,False
GTI,Gen11LP,Gen12HP_512,False
UNCORE,Gen9LPClient,Gen12HP_512,False
UNCORE,Gen9LPSoC,Gen12HP_512,False
UNCORE,Gen10LP,Gen12HP_512,False
UNCORE,Gen11LP,Gen12HP_512,False
UNCORE,Gen12LP,Gen12HP_512,False
COLOR,Gen9LPClient,Gen12HP_512,False
COLOR,Gen9LPSoC,Gen12HP_512,False
COLOR,Gen10LP,Gen12HP_512,False
COLOR,Gen11LP,Gen12HP_512,False
COLOR,Gen12LP,Gen12HP_512,False
Z,Gen9LPClient,Gen12HP_512,False
Z,Gen9LPSoC,Gen12HP_512,False
Z,Gen10LP,Gen12HP_512,False
Z,Gen11LP,Gen12HP_512,False
Z,Gen12LP,Gen12HP_512,False
DSSC,Gen9LPClient,Gen12HP_512,False
DSSC,Gen9LPSoC,Gen12HP_512,False
DSSC,Gen10LP,Gen12HP_512,False
DSSC,Gen11LP,Gen12HP_512,False
DSSC,Gen12LP,Gen12HP_512,False
DSSC,Gen12HP,Gen12HP,False
FF,Gen9LPClient,Gen12HP_512,False
FF,Gen9LPSoC,Gen12HP_512,False
FF,Gen10LP,Gen12HP_512,False
FF,Gen11LP,Gen12HP_512,False
FF,Gen12LP,Gen12HP_512,False
HDC,Gen9LPClient,Gen12HP_512,False
HDC,Gen9LPSoC,Gen12HP_512,False
HDC,Gen10LP,Gen12HP_512,False
HDC,Gen11LP,Gen12HP_512,False
HDC,Gen12LP,Gen12HP_512,False
HDC,Gen12LP,Gen12HP,False
rFF,Gen9LPClient,Gen12HP_512,False
rFF,Gen9LPSoC,Gen12HP_512,False
rFF,Gen10LP,Gen12HP_512,False
rFF,Gen11LP,Gen12HP_512,False
rFF,Gen12LP,Gen12HP_512,False
ROSS,Gen9LPClient,Gen12HP_512,False
ROSS,Gen9LPSoC,Gen12HP_512,False
ROSS,Gen10LP,Gen12HP_512,False
ROSS,Gen11LP,Gen12HP_512,False
ROSS,Gen12LP,Gen12HP_512,False
ROSC,Gen9LPClient,Gen12HP_512,False
ROSC,Gen9LPSoC,Gen12HP_512,False
ROSC,Gen10LP,Gen12HP_512,False
ROSC,Gen11LP,Gen12HP_512,False
ROSC,Gen12LP,Gen12HP_512,False
SQIDI,Gen9LPClient,Gen12HP_512,False
SQIDI,Gen9LPSoC,Gen12HP_512,False
SQIDI,Gen10LP,Gen12HP_512,False
SQIDI,Gen11LP,Gen12HP_512,False
SQIDI,Gen12LP,Gen12HP_512,False
Other,Gen9LPClient,Gen12HP_512,False
Other,Gen9LPSoC,Gen12HP_512,False
Other,Gen10LP,Gen12HP_512,False
Other,Gen11LP,Gen12HP_512,False
Other,Gen12LP,Gen12HP_512,False
Other,Gen11LP,Gen12LP,False
Other,Gen12LP,Gen12LP,False
EU,Gen9LPClient,Gen12HP_384,False
EU,Gen9LPSoC,Gen12HP_384,False
EU,Gen10LP,Gen12HP_384,False
EU,Gen11LP,Gen12HP_384,False
EU,Gen12LP,Gen12HP_384,False
L3_Bank,Gen9LPClient,Gen12HP_384,False
L3_Bank,Gen9LPSoC,Gen12HP_384,False
L3_Bank,Gen10LP,Gen12HP_384,False
L3_Bank,Gen11LP,Gen12HP_384,False
L3_Bank,Gen12LP,Gen12HP_384,False
GAM,Gen9LPClient,Gen12HP_384,False
GAM,Gen9LPSoC,Gen12HP_384,False
GAM,Gen10LP,Gen12HP_384,False
GAM,Gen11LP,Gen12HP_384,False
GAM,Gen12LP,Gen12HP_384,False
Sampler,Gen9LPClient,Gen12HP_384,False
Sampler,Gen9LPSoC,Gen12HP_384,False
Sampler,Gen10LP,Gen12HP_384,False
Sampler,Gen12LP,Gen12HP_384,False
Sampler,Gen11LP,Gen12HP_384,False
L3Node,Gen9LPClient,Gen12HP_384,False
L3Node,Gen9LPSoC,Gen12HP_384,False
L3Node,Gen10LP,Gen12HP_384,False
L3Node,Gen11LP,Gen12HP_384,False
L3Node,Gen12LP,Gen12HP_384,False
Fabric,Gen9LPClient,Gen12HP_384,False
Fabric,Gen9LPSoC,Gen12HP_384,False
Fabric,Gen10LP,Gen12HP_384,False
Fabric,Gen11LP,Gen12HP_384,False
Fabric,Gen12LP,Gen12HP_384,False
GTI,Gen9LPClient,Gen12HP_384,False
GTI,Gen9LPSoC,Gen12HP_384,False
GTI,Gen10LP,Gen12HP_384,False
GTI,Gen12LP,Gen12HP_384,False
GTI,Gen11LP,Gen12HP_384,False
SQIDI,Gen9LPClient,Gen12HP_384,False
SQIDI,Gen9LPSoC,Gen12HP_384,False
SQIDI,Gen10LP,Gen12HP_384,False
SQIDI,Gen12LP,Gen12HP_384,False
SQIDI,Gen11LP,Gen12HP_384,False
UNCORE,Gen9LPClient,Gen12HP_384,False
UNCORE,Gen9LPSoC,Gen12HP_384,False
UNCORE,Gen10LP,Gen12HP_384,False
UNCORE,Gen11LP,Gen12HP_384,False
UNCORE,Gen12LP,Gen12HP_384,False
COLOR,Gen9LPClient,Gen12HP_384,False
COLOR,Gen9LPSoC,Gen12HP_384,False
COLOR,Gen10LP,Gen12HP_384,False
COLOR,Gen11LP,Gen12HP_384,False
COLOR,Gen12LP,Gen12HP_384,False
Z,Gen9LPClient,Gen12HP_384,False
Z,Gen9LPSoC,Gen12HP_384,False
Z,Gen10LP,Gen12HP_384,False
Z,Gen11LP,Gen12HP_384,False
Z,Gen12LP,Gen12HP_384,False
DSSC,Gen9LPClient,Gen12HP_384,False
DSSC,Gen9LPSoC,Gen12HP_384,False
DSSC,Gen10LP,Gen12HP_384,False
DSSC,Gen11LP,Gen12HP_384,False
DSSC,Gen12LP,Gen12HP_384,False
DSSC,Gen12LP,Gen12HP,False
FF,Gen9LPClient,Gen12HP_384,False
FF,Gen9LPSoC,Gen12HP_384,False
FF,Gen10LP,Gen12HP_384,False
FF,Gen11LP,Gen12HP_384,False
FF,Gen12LP,Gen12HP_384,False
HDC,Gen9LPClient,Gen12HP_384,False
HDC,Gen9LPSoC,Gen12HP_384,False
HDC,Gen10LP,Gen12HP_384,False
HDC,Gen11LP,Gen12HP_384,False
HDC,Gen12LP,Gen12HP_384,False
HDC,Gen12LP,Gen12HP,False
rFF,Gen9LPClient,Gen12HP_384,False
rFF,Gen9LPSoC,Gen12HP_384,False
rFF,Gen10LP,Gen12HP_384,False
rFF,Gen11LP,Gen12HP_384,False
rFF,Gen12LP,Gen12HP_384,False
ROSS,Gen9LPClient,Gen12HP_384,False
ROSS,Gen9LPSoC,Gen12HP_384,False
ROSS,Gen10LP,Gen12HP_384,False
ROSS,Gen11LP,Gen12HP_384,False
ROSS,Gen12LP,Gen12HP_384,False
ROSC,Gen9LPClient,Gen12HP_384,False
ROSC,Gen9LPSoC,Gen12HP_384,False
ROSC,Gen10LP,Gen12HP_384,False
ROSC,Gen11LP,Gen12HP_384,False
ROSC,Gen12LP,Gen12HP_384,False
Other,Gen9LPClient,Gen12HP_384,False
Other,Gen9LPSoC,Gen12HP_384,False
Other,Gen10LP,Gen12HP_384,False
Other,Gen11LP,Gen12HP_384,False
Other,Gen12LP,Gen12HP_384,False
EU,Gen11LP,Gen12DG,False
EU,Gen12LP,Gen12DG,False
L3_Bank,Gen11LP,Gen12DG,False
L3_Bank,Gen12LP,Gen12DG,False
GAM,Gen11LP,Gen12DG,False
GAM,Gen12LP,Gen12DG,False
Sampler,Gen12LP,Gen12DG,False
L3Node,Gen11LP,Gen12DG,False
L3Node,Gen12LP,Gen12DG,False
Fabric,Gen11LP,Gen12DG,False
Fabric,Gen12LP,Gen12DG,False
GTI,Gen12LP,Gen12DG,False
SQIDI,Gen12LP,Gen12DG,False
UNCORE,Gen12LP,Gen12DG,False
COLOR,Gen12LP,Gen12DG,False
Z,Gen12LP,Gen12DG,False
DSSC,Gen12LP,Gen12DG,False
FF,Gen12LP,Gen12DG,False
HDC,Gen12LP,Gen12DG,False
HDC,Gen12HP,Gen12HP,False
rFF,Gen12LP,Gen12DG,False
ROSS,Gen12LP,Gen12DG,False
ROSC,Gen12LP,Gen12DG,False
SQIDI,Gen12LP,Gen12DG,False
EU,Gen9LPClient,Gen12HP,False
EU,Gen9LPSoC,Gen12HP,False
EU,Gen10LP,Gen12HP,False
EU,Gen11LP,Gen12HP,False
EU,Gen12LP,Gen12HP,False
EU,Gen12HP,Gen12HP,False
EU,Gen12HP,PVC,False
EU,DG2,PVC,False
EU,ADL,PVC,False
EU,PVC,PVC,False
EU,Gen12HP,PVC2,False
EU,PVC,PVC2,False
EU,PVC2,PVC2,False
L3_Bank,Gen9LPClient,Gen12HP,False
L3_Bank,Gen9LPSoC,Gen12HP,False
L3_Bank,Gen10LP,Gen12HP,False
L3_Bank,Gen11LP,Gen12HP,False
L3_Bank,Gen12LP,Gen12HP,False
L3_Bank,Gen12DG,Gen12HP,False
GAM,Gen9LPClient,Gen12HP,False
GAM,Gen9LPSoC,Gen12HP,False
GAM,Gen10LP,Gen12HP,False
GAM,Gen11LP,Gen12HP,False
GAM,Gen12LP,Gen12HP,False
Sampler,Gen9LPClient,Gen12HP,False
Sampler,Gen9LPSoC,Gen12HP,False
Sampler,Gen10LP,Gen12HP,False
Sampler,Gen12LP,Gen12HP,False
Sampler,Gen11LP,Gen12HP,False
L3Node,Gen9LPClient,Gen12HP,False
L3Node,Gen9LPSoC,Gen12HP,False
L3Node,Gen10LP,Gen12HP,False
L3Node,Gen11LP,Gen12HP,False
L3Node,Gen12DG,Gen12HP,False
L3Node,Gen12LP,Gen12HP,False
L3Node,Gen12HP,Gen12HP,False
Fabric,Gen9LPClient,Gen12HP,False
Fabric,Gen9LPSoC,Gen12HP,False
Fabric,Gen10LP,Gen12HP,False
Fabric,Gen11LP,Gen12HP,False
Fabric,Gen12LP,Gen12HP,False
Fabric,Gen12DG,Gen12HP,False
Fabric,Gen12HP,Gen12HP,False
GTI,Gen9LPClient,Gen12HP,False
GTI,Gen9LPSoC,Gen12HP,False
GTI,Gen10LP,Gen12HP,False
GTI,Gen12LP,Gen12HP,False
GTI,Gen11LP,Gen12HP,False
SQIDI,Gen9LPClient,Gen12HP,False
SQIDI,Gen9LPSoC,Gen12HP,False
SQIDI,Gen10LP,Gen12HP,False
SQIDI,Gen12LP,Gen12HP,False
SQIDI,Gen11LP,Gen12HP,False
UNCORE,Gen9LPClient,Gen12HP,False
UNCORE,Gen9LPSoC,Gen12HP,False
UNCORE,Gen10LP,Gen12HP,False
UNCORE,Gen11LP,Gen12HP,False
UNCORE,Gen12LP,Gen12HP,False
COLOR,Gen9LPClient,Gen12HP,False
COLOR,Gen9LPSoC,Gen12HP,False
COLOR,Gen10LP,Gen12HP,False
COLOR,Gen11LP,Gen12HP,False
COLOR,Gen12LP,Gen12HP,False
Z,Gen9LPClient,Gen12HP,False
Z,Gen9LPSoC,Gen12HP,False
Z,Gen10LP,Gen12HP,False
Z,Gen11LP,Gen12HP,False
Z,Gen12LP,Gen12HP,False
DSSC,Gen9LPClient,Gen12HP,False
DSSC,Gen9LPSoC,Gen12HP,False
DSSC,Gen10LP,Gen12HP,False
DSSC,Gen11LP,Gen12HP,False
DSSC,Gen12LP,Gen12HP,False
FF,Gen9LPClient,Gen12HP,False
FF,Gen9LPSoC,Gen12HP,False
FF,Gen10LP,Gen12HP,False
FF,Gen11LP,Gen12HP,False
FF,Gen12LP,Gen12HP,False
HDC,Gen9LPClient,Gen12HP,False
HDC,Gen9LPSoC,Gen12HP,False
HDC,Gen10LP,Gen12HP,False
HDC,Gen11LP,Gen12HP,False
HDC,Gen12LP,Gen12HP,False
rFF,Gen9LPClient,Gen12HP,False
rFF,Gen9LPSoC,Gen12HP,False
rFF,Gen10LP,Gen12HP,False
rFF,Gen11LP,Gen12HP,False
rFF,Gen12LP,Gen12HP,False
ROSS,Gen9LPClient,Gen12HP,False
ROSS,Gen9LPSoC,Gen12HP,False
ROSS,Gen10LP,Gen12HP,False
ROSS,Gen11LP,Gen12HP,False
ROSS,Gen12LP,Gen12HP,False
ROSC,Gen9LPClient,Gen12HP,False
ROSC,Gen9LPSoC,Gen12HP,False
ROSC,Gen10LP,Gen12HP,False
ROSC,Gen11LP,Gen12HP,False
ROSC,Gen12LP,Gen12HP,False
Other,Gen9LPClient,Gen12HP,False
Other,Gen9LPSoC,Gen12HP,False
Other,Gen10LP,Gen12HP,False
Other,Gen11LP,Gen12HP,False
Other,Gen12LP,Gen12HP,False
Other,Gen12HP,Gen12HP,False
EU,Gen9LPClient,PVC_Scaled,False
EU,Gen9LPSoC,PVC_Scaled,False
EU,Gen10LP,PVC_Scaled,False
EU,Gen11LP,PVC_Scaled,False
EU,Gen12LP,PVC_Scaled,False
EU,Gen12HP,PVC_Scaled,False
L3_Bank,Gen9LPClient,PVC_Scaled,False
L3_Bank,Gen9LPSoC,PVC_Scaled,False
L3_Bank,Gen10LP,PVC_Scaled,False
L3_Bank,Gen11LP,PVC_Scaled,False
L3_Bank,Gen12LP,PVC_Scaled,False
L3_Bank,Gen12DG,PVC_Scaled,False
L3_Bank,Gen12HP,PVC_Scaled,False
GAM,Gen9LPClient,PVC_Scaled,False
GAM,Gen9LPSoC,PVC_Scaled,False
GAM,Gen10LP,PVC_Scaled,False
GAM,Gen11LP,PVC_Scaled,False
GAM,Gen12LP,PVC_Scaled,False
Sampler,Gen9LPClient,PVC_Scaled,False
Sampler,Gen9LPSoC,PVC_Scaled,False
Sampler,Gen10LP,PVC_Scaled,False
Sampler,Gen12LP,PVC_Scaled,False
Sampler,Gen11LP,PVC_Scaled,False
L3Node,Gen9LPClient,PVC_Scaled,False
L3Node,Gen9LPSoC,PVC_Scaled,False
L3Node,Gen10LP,PVC_Scaled,False
L3Node,Gen11LP,PVC_Scaled,False
L3Node,Gen12LP,PVC_Scaled,False
L3Node,Gen12DG,PVC_Scaled,False
L3Node,Gen12HP,PVC_Scaled,False
Fabric,Gen9LPClient,PVC_Scaled,False
Fabric,Gen9LPSoC,PVC_Scaled,False
Fabric,Gen10LP,PVC_Scaled,False
Fabric,Gen11LP,PVC_Scaled,False
Fabric,Gen12LP,PVC_Scaled,False
Fabric,Gen12DG,PVC_Scaled,False
Fabric,Gen12HP,PVC_Scaled,False
GTI,Gen9LPClient,PVC_Scaled,False
GTI,Gen9LPSoC,PVC_Scaled,False
GTI,Gen10LP,PVC_Scaled,False
GTI,Gen12LP,PVC_Scaled,False
GTI,Gen11LP,PVC_Scaled,False
UNCORE,Gen9LPClient,PVC_Scaled,False
UNCORE,Gen9LPSoC,PVC_Scaled,False
UNCORE,Gen10LP,PVC_Scaled,False
UNCORE,Gen11LP,PVC_Scaled,False
UNCORE,Gen12LP,PVC_Scaled,False
COLOR,Gen9LPClient,PVC_Scaled,False
COLOR,Gen9LPSoC,PVC_Scaled,False
COLOR,Gen10LP,PVC_Scaled,False
